TIME_MS,MODE,TARGET,YAW,OUTPUT,KP,KI,KD
2920,1,30.0,294.0998185442441,1000.0,8.0,0.1,1.5
2930,1,30.0,-294.1208745283615,2000.0,8.0,0.1,1.5
2940,1,30.0,294.1293089345686,1000.0,8.0,0.1,1.5
2950,1,30.0,-294.0921375584238,2000.0,8.0,0.1,1.5
2960,1,30.0,294.15472549618096,1000.0,8.0,0.1,1.5
2970,1,30.0,-294.0723117908887,2000.0,8.0,0.1,1.5
2980,1,30.0,294.16718949287093,1000.0,8.0,0.1,1.5
2990,1,30.0,-294.0683229367473,2000.0,8.0,0.1,1.5
3000,1,30.0,294.1623468920032,1000.0,8.0,0.1,1.5
3010,1,30.0,-294.08156441751106,2000.0,8.0,0.1,1.5
3020,1,30.0,294.1418893533835,1000.0,8.0,0.1,1.5
3030,1,30.0,-294.10741060298955,2000.0,8.0,0.1,1.5
3040,1,30.0,294.11296328381866,1000.0,8.0,0.1,1.5
3050,1,30.0,-294.13683267699565,2000.0,8.0,0.1,1.5
3060,1,30.0,294.08567339161596,1000.0,8.0,0.1,1.5
3070,1,30.0,-294.1595526626006,2000.0,8.0,0.1,1.5
3080,1,30.0,294.06955282125693,1000.0,8.0,0.1,1.5
3090,1,30.0,-294.1676338151746,2000.0,8.0,0.1,1.5
3100,1,30.0,294.0702329517597,1000.0,8.0,0.1,1.5
3110,1,30.0,-294.1582531556273,2000.0,8.0,0.1,1.5
3120,1,30.0,294.0874761939722,1000.0,8.0,0.1,1.5
3130,1,30.0,-294.1346876182218,2000.0,8.0,0.1,1.5
3140,1,30.0,294.1152589872984,1000.0,8.0,0.1,1.5
3150,1,30.0,-294.10516932315863,2000.0,8.0,0.1,1.5
3160,1,30.0,294.1438760027134,1000.0,8.0,0.1,1.5
3170,1,30.0,-294.08000986015,2000.0,8.0,0.1,1.5
3180,1,30.0,294.16333049341614,1000.0,8.0,0.1,1.5
3190,1,30.0,-294.0679981534672,2000.0,8.0,0.1,1.5
3200,1,30.0,294.1668264460949,1000.0,8.0,0.1,1.5
3210,1,30.0,-294.0733302378335,2000.0,8.0,0.1,1.5
3220,1,30.0,294.1531426238998,1000.0,8.0,0.1,1.5
3230,1,30.0,-294.09414346277464,2000.0,8.0,0.1,1.5
3240,1,30.0,294.1270591796096,1000.0,8.0,0.1,1.5
